"File Number","Facility","City","County","Bed Size","Number of Substantiated Complaints","Sanctions/Final Orders","Fine Amount","Total Deficiencies","Class 1","Class 2","Class 3","Class 4","Unclassified","Number of Activities","Activities","Number of Nurse Availability","Nurse Availability","Number of Special Programs and Services","Special Programs and Services"
"11964968","SOME PLACE LIKE HOME, INC.","JACKSONVILLE","Duval","6","0","0","$0.00","9","0","0","9","0","0","1","None","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","1","Other"
"11964969","BROOKDALE CANOPY OAKS","OCALA","Marion","120","3","0","$0.00","2","0","0","2","0","0","2","Direct 24hr|Direct Part-Time","10","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Yoga","4","Memory Care|Occupational Therapy|Pet Therapy|Speech Therapy"
"11964978","HUMBLE CARE INC","MIAMI","Miami-Dade","6","0","1","$0.00","16","0","0","16","0","0","1","None","2","Arts and Crafts|Games/Cards","NR","NR"
"11964980","BROOKDALE ORANGE PARK","ORANGE PARK","Clay","102","1","1","$0.00","1","0","0","1","0","0","1","Direct Part-Time","9","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Music Programs|Shopping|Social Events/Outings|Theater and Movies","4","Memory Care|Occupational Therapy|Physical Therapy|Speech Therapy"
"11964982","DISCOVERY COMMONS SAN PABLO","JACKSONVILLE","Duval","67","1","1","$1,000.00","9","0","0","8","0","1","1","Direct 24hr","10","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Yoga","5","Memory Care|Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy"
"11964986","MERRY ONE ALF","MIAMI","Miami-Dade","6","0","2","$1,500.00","5","0","0","5","0","0","1","None","4","Exercise Classes|Games/Cards|Music Programs|Social Events/Outings","NR","NR"
"11964990","EMERALD PARK OF HOLLYWOOD","HOLLYWOOD","Broward","100","25","13","$88,500.00","31","5","6","20","0","0","1","Direct Part-Time","9","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","5","Memory Care|Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy"
"11964997","MAYFLOWER ASSISTED LIVING, THE","HIGH SPRINGS","Alachua","24","0","0","$0.00","2","0","0","2","0","0","1","None","6","Arts and Crafts|Games/Cards|Gardening|Shopping|Social Events/Outings|Theater and Movies","1","Memory Care"
"11965004","SUNSET RETIREMENT HOME, INC","HIALEAH","Miami-Dade","48","3","10","$69,875.00","16","3","4","8","0","1","1","3rd Party Part-Time","4","Dancing|Games/Cards|Social Events/Outings|Theater and Movies","NR","NR"
"11965010","ANGELS RETIREMENT HOME CORP (THE)","MIAMI","Miami-Dade","6","0","2","$2,400.00","26","0","0","25","0","1","1","None","6","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Music Programs|Social Events/Outings","NR","NR"
"11965013","RADIANCE OF GAINESVILLE A MEMORY CARE COMMUNITY","GAINESVILLE","Alachua","38","2","0","$0.00","7","0","0","7","0","0","1","Direct 24hr","8","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Music Programs|Social Events/Outings|Theater and Movies","1","Memory Care"
"11965022","GAIL'S ALF, INC","TAMPA","Hillsborough","10","0","2","$1,000.00","9","0","0","6","0","3","1","None","8","Arts and Crafts|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","NR","NR"
"11965026","BROOKDALE FORT MYERS CYPRESS LAKE","FORT MYERS","Lee","190","6","4","$26,500.00","9","2","1","5","0","1","2","Direct Part-Time|3rd Party 24hr","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","6","Memory Care|Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy|Water Therapy"
